ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREFE,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
89,-46468677,-23627648,355030875000005,3550308005212,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,PARQUE SAO RAFAEL,7066-1,RUA JOAO DO CANTO E MELO,671.000000,PQ SAO RAFAEL,TV AV BARONEZA DE MURITIBA
90,-46577944,-23491574,355030892000181,3550308005068,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,VILA MEDEIROS,5154-3,RUA GEOLANDIA,S/N,VL MEDEIROS,RUA GEOLANDIA
91,-46594757,-23615380,355030868000130,3550308005085,69,SACOMA,13,IPIRANGA,Sul,Sul 1,SAO JOAO CLIMACO,4027-4,RUA JAPARATUBA,131.000000,SAO JOAO CLIMACO,ESTRADA DAS LAGRIMAS-1600
92,-46456993,-23535558,355030837000005,3550308005198,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,JARDIM ITAPEMIRIM,4160-2,RUA DIOGO JOSE MACHADO,S/N,JD ITAPEMIRIM,AV CAMPANELA E RUA CUNHA PORA
93,-46515902,-23498151,355030818000024,3550308005137,18,CANGAIBA,21,PENHA,Leste,Leste 1,ENGENHEIRO GOULART,5041-5,RUA DR AUGUSTO S LOPES,200.000000,ENG GOULART,RUA H MARQUES E M DOS SANTOS
94,-46744255,-23512235,355030840000003,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,VILA JAGUARA,4036-3,RUA CACHOEIRA DO SUL,26.000000,VL JAGUARA,FABRICA DANONE
95,-46379305,-23494337,355030836000165,3550308005251,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,JARDIM DAS OLIVEIRAS,7084-0,RUA MONSENHOR SALIM,4.000000,JD DAS OLIVEIRAS,PT FINAL ON JD OLIVEIRAS
96,-46772023,-23654904,355030819000246,3550308005230,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM IPE,6101-8,RUA GASTAO RAUL DE FONTON BOSQUET,,JD IPE,GASTAO RAUL FOURTON BOUSQUET
97,-46458501,-23515916,355030837000244,3550308005199,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,RAINHA DA NOITE,3160-7,RUA RODOLFO BARBOSA DE CASTRO,,PARQUE GUARANI,
98,-46509912,-23579707,355030804000119,3550308005151,04,ARICANDUVA,26,ARICANDUVA-FORMOSA-CARRAO,Leste,Leste 1,VILA NOVA YORK,3074-0,RUA MAL MARQUES PORTO,S/N,VL NOVA YORK,TV AV NACIONALISTAS
99,-46694016,-23469518,355030811000128,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,GUARIROBA,3079-1,RUA JOSE FELIX ALVES PACHECO,209.000000,VL BRASILANDIA,DEPOSITO COMBARA DE CONSTRUCAO
100,-46664328,-23623517,355030815000060,3550308005100,15,CAMPO BELO,14,SANTO AMARO,Sul,Sul 2,CONGONHAS,5071-7,AV INVERNADA,351.000000,CONGONHAS,ENTRE BARAO REGO BARROS
101,-46686720,-23713787,355030823000069,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM PRIMAVERA,7049-1,RUA FRANCISCO BARRETO,100.000000,JD PRIMAVERA,JARDIM PRIMAVERA
102,-46752881,-23570473,355030867000122,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,SAO DOMINGOS,1048-0,RUA JOSE JOAQUIM SEABRA,,VL TIRADENTES,ESTRADA DE COTIA
103,-46650409,-23479523,355030851000079,3550308005128,51,MANDAQUI,5,SANTANA-TUCURUVI,Norte,Norte 2,JOAO PESSOA,4125-4,RUA RIBEIRAO DO SALTO,S/N,LAUSANE PAULISTA,SEM INFORMACAO
104,-46398480,-23493689,355030836000157,3550308005249,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,VILA ITAIM,4165-3,AV ITAIM,S/N,VL ITAIM,
105,-46405355,-23498599,355030836000302,3550308005249,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,ITAIM,5046-6,RUA VEREDA DO PARAISO,8.000000,ITAIM PAULISTA,BENEDITO A FREITAS E DURVAL VI
106,-46539533,-23543654,355030820000114,3550308005077,20,CARRAO,26,ARICANDUVA-FORMOSA-CARRAO,Leste,Leste 1,VILA MANCHESTER,6129-8,PC HAROLDO DALTRO,S/N,VL MANCHESTER,
107,-46488401,-23539253,355030805000036,3550308005149,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,ARTUR ALVIM,1036-7,RUA BENEDITO LEAL,117.000000,PQ ARTUR ALVIM,RUA DES ROCHA PORTELA
108,-46473066,-23492146,355030828000078,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,ERMELINO MATARAZZO,1038-3,RUA SHOBEE KUMAGAI,6996.000000,ERMELINO MATARAZZO,AVENIDA PARANAGUA
109,-46586405,-23625896,355030868000052,3550308005087,69,SACOMA,13,IPIRANGA,Sul,Sul 1,JARDIM PATENTE,6059-3,AV PATENTE,468.000000,JD PATENTE,TV ES DAS LAGRIMAS ALTURA 3500
110,-46749487,-23550536,355030841000090,3550308005108,40,JAGUARE,8,LAPA,Oeste,Oeste,JAGUARE,3055-4,RUA ROLANDIA,S/N,JAGUARE,TV AV CORIFEU DE A MARQUES
111,-46668175,-23459022,355030813000169,3550308005126,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,JARDIM SANTA CRUZ,3118-6,RUA MONTE SAO MARTINHO,349.000000,JD STA CRUZ,TV AV GENERAL PENHA BRASIL
112,-46707373,-23482447,355030829000093,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,VILA MIRIAM,6050-0,RUA ANTONIO GOMES DE OLIVEIRA,458.000000,VL MIRIAN,PARALELA A AV FAUD
113,-46460515,-23604427,355030873000107,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,CIDADE SATELITE,4162-9,RUA PHOBUS,S/N,JD STA BARBARA,S/INFOR.
114,-46660082,-23503267,355030821000038,3550308005030,21,CASA VERDE,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CHORA MENINO,1019-7,AV BARUEL,661.000000,BARUEL,AVENIDA CASA VERDE
115,-46518740,-23498859,355030818000024,3550308005137,18,CANGAIBA,21,PENHA,Leste,Leste 1,VILA SAO LOURENCO,1138-0,PC DO HORTICULTORES,415.000000,ENG GOULART,S/INF
116,-46494733,-23597745,355030873000161,3550308005207,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,ENGENHO NOVO,4122-0,AV ENGENHO NOVO,S/N,JD TIETE,RUAS LANHOSO E JACI
117,-46446880,-23517667,355030837000211,3550308005200,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,JARDIM RUTH,3140-2,RUA FLOR DE PELICANO,S/N,JD CASA PINTADA,IMPERADOR E GRAMA DA PRAIA
